name,algorithm,is_depends,coin_url,github_link,miners,market_cap,volume,circulating_supply,emission
Neurai,GPU - KawPow,true,https://miningpoolstats.stream/neurai,https://github.com/NeuraiProject/Neurai,8881,46.94M ,4.27M ,9.85B / 9.85B (100.0%),23375693 XNA ( 111.39K  )
MicroVisionChain,ASIC - SHA256,false,https://miningpoolstats.stream/microvisionchain,https://github.com/mvc-labs,15110,43.46M ,1.93M ,0 / 21M (0.0%),?
Zano,GPU - ProgPoW | Cuckoo,false,https://miningpoolstats.stream/zano,https://github.com/hyle-team/zano,781,40M ,17.44K ,14.01M / 18.4M (76.1%),1471 ZANO ( 4.13K  )
Pirate Chain,ASIC - Equihash,true,https://miningpoolstats.stream/piratechain,https://github.com/PirateNetwork/pirate,171,39.22M ,51.79K ,196.21M / 200M (98.1%),?
HyperCash,ASIC - Blake256 | Blake2B,false,https://miningpoolstats.stream/hypercash,https://github.com/HcashOrg/hcashd,0,5.16M ,415.46K ,49.74M / 84M (59.2%),3704 HC ( 383.97  )
Komodo,ASIC - Equihash,true,https://miningpoolstats.stream/komodo,https://github.com/KomodoPlatform/komodo,267,35.07M ,1.44M ,139.05M / 200M (69.5%),?
Monacoin,ASIC - Lyra2REv2,true,https://miningpoolstats.stream/monacoin,https://github.com/monacoinproject/monacoin,72,28.18M ,33.98K ,65.73M / 105.12M (62.5%),?
Alephium,GPU - Various Algo,false,https://miningpoolstats.stream/alephium,https://github.com/alephium/alephium,5754,26.81M ,672.07K ,57.57M / 163.03M (35.3%),?
BitcoinVault,ASIC - SHA256,true,https://miningpoolstats.stream/bitcoinvault,https://github.com/bitcoinvault/bitcoinvault,0,26.68M ,9.9K ,19.2M / 21M (91.4%),1788 BTCV ( 2.49K  )
Radiant,GPU - Various Algo,true,https://miningpoolstats.stream/radiant,https://github.com/RadiantBlockchain/radiant-node,12941,26.28M ,274.36K ,8.48B / 21B (40.4%),15500710 RXD ( 48.27K  )
Elastos,MERGED Mining,false,https://miningpoolstats.stream/elastos,https://github.com/elastos/Elastos.ELA,789941,25.93M ,351.1K ,21.36M / 24.9M (85.8%),?
OctaSpace,ASIC - Ethash,false,https://miningpoolstats.stream/octaspace,https://github.com/octaspace-project/go-octa,2165,21.69M ,546.5K ,24.57M / 48M (51.2%),17837 OCTA ( 15.61K  )
Firo,GPU - Various Algo,true,https://miningpoolstats.stream/firo,https://github.com/firoorg/firo,640,19.73M ,2.12M ,11.02M / 21.4M (51.5%),3888 FIRO ( 6.96K  )
Neoxa,GPU - KawPow,true,https://miningpoolstats.stream/neoxa,https://github.com/NeoxaChain/Neoxa,3241,17.34M ,194.15K ,4.02B / 21B (19.1%),7185098 NEOX ( 31.05K  )
Bitcoin Diamond,GPU - X21S | X17 | X15 | X14 | X13,true,https://miningpoolstats.stream/bitcoindiamond,https://github.com/eveybcd/BitcoinDiamond,0,15.31M ,53.98K ,208.24M / 210M (99.2%),7938 BCD ( 640.41  )
XeniosCoin,ASIC - X11,false,https://miningpoolstats.stream/xenioscoin,https://github.com/xeniosproject/xenioscoin,0,15.47M ,410.48K ,100.53M / 110M (91.4%),101.9 XNC ( 15.61  )
Dagger,CPU - RandomX Variants,false,https://miningpoolstats.stream/dagger,https://github.com/XDagger/xdagj,1557,15.21M ,35.2K ,1.23B / 1.45B (84.9%),86400 XDAG ( 1.05K  )
Hathor,ASIC - SHA256,false,https://miningpoolstats.stream/hathor,https://github.com/HathorNetwork/hathor-core,11,12.91M ,325.5K ,248.92M / 869.46M (28.6%),23160 HTR ( 1.2K  )
MimbleWimble,GPU - ProgPoW | Cuckoo,false,https://miningpoolstats.stream/mimblewimble,https://github.com/mwcproject/mwc-node,117,12.69M ,8.32K ,10.94M / 10.94M (100.0%),143.1 MWC ( 166  )
Nimiq,CPU - Argon2d | Argon2i,false,https://miningpoolstats.stream/nimiq,https://github.com/nimiq-network/core,9264,12.47M ,311.29K ,11.42B / 8.89B (128.5%),3162800 NIM ( 3.45K  )
Handshake,GPU - Various Algo,false,https://miningpoolstats.stream/handshake,https://github.com/handshake-org/hsd,752,11.85M ,62.08K ,618.24M / 2.04B (30.3%),138602 HNS ( 2.65K  )
BLOCX,ASIC - X11,false,https://miningpoolstats.stream/blocx,,703,,,,
Quantum R L,CPU - RandomX Variants,false,https://miningpoolstats.stream/quantumrl,https://github.com/theQRL/QRL,177,9.82M ,24.83K ,77.69M / 105M (74.0%),2346 QRL ( 295.05  )
GoldCoin,ASIC - Scrypt,true,https://miningpoolstats.stream/goldcoin,https://github.com/goldcoin/goldcoin,17,9.76M ,113.74 ,44.45M / 72.25M (61.5%),?
e-Gulden,ASIC - Scrypt,true,https://miningpoolstats.stream/egulden,https://github.com/Electronic-Gulden-Foundation/egulden,7,9.54M ,154.05 ,21M / 21M (100.0%),4.48 EFL ( 2.04  )
Aeternity,GPU - ProgPoW | Cuckoo,false,https://miningpoolstats.stream/aeternity,https://github.com/aeternity/aeternity,138,9.4M ,530.24K ,420.04M / 536.31M (78.3%),29402 AE ( 655.98  )
Raptoreum,CPU - GhostRider,true,https://miningpoolstats.stream/raptoreum,https://github.com/Raptor3um/Raptoreum,6661,7.78M ,56.89K ,3.54B / 21B (16.9%),3453840 RTM ( 7.67K  )
Qitmeer,GPU - Blake2S | Blake2B | Keccak,false,https://miningpoolstats.stream/qitmeer-keccak,https://github.com/Qitmeer/qitmeer,464,7.7M ,188.84K ,75.23M / 210.24M (35.8%),29999 MEER ( 3.07K  )
LBRY Credits,ASIC - Various Algo,true,https://miningpoolstats.stream/lbry,https://github.com/lbryio/lbrycrd,1771,7.31M ,16.81K ,654.24M / 1.08B (60.4%),?
Beam,GPU - Various Algo,false,https://miningpoolstats.stream/beam,https://github.com/beam-mw/beam,453,7.24M ,700.15K ,148.15M / 262.8M (56.4%),?
Peercoin,ASIC - SHA256,true,https://miningpoolstats.stream/peercoin,https://github.com/peercoin/peercoin,714,7.15M ,17.22K ,28.5M / 27.24M (104.6%),3593 PPC ( 900.71  )
EarthCoin,ASIC - Scrypt,true,https://miningpoolstats.stream/earthcoin,https://github.com/Sandokaaan/Earthcoin,3147,7.13M ,74.06 ,12.91B / 13.5B (95.7%),51690 EAC ( 28.53  )
Epic Cash,GPU - ProgPoW | Cuckoo,false,https://miningpoolstats.stream/epiccash-progpow,https://github.com/epiccash/epic,440,6.94M ,3.63K ,17.02M / 21M (81.1%),2904 EPIC ( 1.18K  )
Epic Cash,GPU - ProgPoW | Cuckoo,false,https://miningpoolstats.stream/epiccash-cuckoo,https://github.com/epiccash/epic,19,6.94M ,3.63K ,17.02M / 21M (81.1%),2904 EPIC ( 1.18K  )
Epic Cash,CPU - RandomX Variants,false,https://miningpoolstats.stream/epiccash-randomx,https://github.com/epiccash/epic,1031,6.94M ,3.63K ,17.02M / 21M (81.1%),2904 EPIC ( 1.18K  )
SatoxCoin,GPU - KawPow,true,https://miningpoolstats.stream/satoxcoin,https://github.com/satoverse/satoxcoin,611,6.15M ,259.74K ,4.44B / 8B (55.5%),429120 SATOX ( 594.76  )
ScPrime,ASIC - Blake256 | Blake2B,false,https://miningpoolstats.stream/scprime,https://gitlab.com/scpcorp/ScPrime,308,5.52M ,1.12K ,45.2M / 55M (82.2%),?
Grin,GPU - ProgPoW | Cuckoo,false,https://miningpoolstats.stream/grin,https://github.com/mimblewimble/grin,1505,5.29M ,848.33K ,153.27M,88200 GRIN ( 3.04K  )
MintMe.com Coin,GPU - Lyra2 Variants,false,https://miningpoolstats.stream/mintmecoin,https://github.com/mintme-com/webchaind,75,4.76M ,110.04K ,540.04M / 540.04M (100.0%),6120 MINTME ( 53.97  )
Diabase,ASIC - X11,true,https://miningpoolstats.stream/diabase,https://github.com/diabasecoin/diabase,362,4.68M ,209.56K ,485.63K / 3.6M (13.5%),4535 DIAC ( 43.72K  )
Haven,GPU - CryptoNight Variants,false,https://miningpoolstats.stream/haven,https://github.com/haven-protocol-org,371,4.45M ,15.32K ,17.92M / 32.22M (55.6%),1904 XHV ( 472.76  )
Lynx,ASIC - Scrypt,true,https://miningpoolstats.stream/lynx,https://github.com/getlynx/Lynx,0,4.38M ,73.33 ,77.87B / 92B (84.6%),30 LYNX ( 0  )
Starcoin,GPU - CryptoNight Variants,false,https://miningpoolstats.stream/starcoin,https://github.com/starcoinorg/starcoin,2341,4.27M ,24.05K ,0 / 325.87M (0.0%),?
PowBlocks,ASIC - Ethash,false,https://miningpoolstats.stream/powblocks,https://github.com/PowBlocks/go-PowBlocks,3159,3.92M ,260.96K ,0 / 40M (0.0%),?
Aeon,GPU - Various Algo,false,https://miningpoolstats.stream/aeon,https://github.com/aeonix/aeon,17,3.81M ,6.46K ,18M / 18.4M (97.9%),?
Novo,GPU - SHA | Skunk | TimeTravel,true,https://miningpoolstats.stream/novo,https://github.com/novochain/novo,2106,3.71M ,235.35K ,640.25B / 840B (76.2%),792830500 NOVO ( 4.6K  )
Litecoin Cash,ASIC - SHA256,true,https://miningpoolstats.stream/litecoincash-sha,https://github.com/litecoincash-project/litecoincash,659,3.38M ,68.96 ,794.75M / 840M (94.6%),36063 LCC ( 153.59  )
Litecoin Cash,CPU - Various Algo,true,https://miningpoolstats.stream/litecoincash-minotaurx,https://github.com/litecoincash-project/litecoincash,2612,3.38M ,68.96 ,794.75M / 840M (94.6%),36063 LCC ( 153.59  )
Skydoge,GPU - Various Algo,true,https://miningpoolstats.stream/skydoge,https://github.com/skydogenet/mainchain,700,3.31M ,35.13K ,34.66B,69700000 SKYDOGE ( 6.66K  )
Xaya,GPU - NeoScrypt,true,https://miningpoolstats.stream/xaya-neoscrypt,https://github.com/xaya/xaya,64,3.12M ,10.32K ,57.61M / 77.3M (74.5%),?
Xaya,MERGED Mining,true,https://miningpoolstats.stream/xaya-sha,https://github.com/xaya/xaya,30351,3.12M ,10.32K ,57.61M / 77.3M (74.5%),?
Monero Classic,ASIC - CryptoNight,false,https://miningpoolstats.stream/moneroclassic,https://github.com/monero-classic/monero,30,2.89M ,13.81K ,9.57M / 18.4M (52.0%),7290 XMC ( 2.2K  )
Frencoin,GPU - KawPow,true,https://miningpoolstats.stream/frencoin,https://github.com/Apushii/Frencoin,1029,2.93M ,231.46K ,393.31B,179342300 FREN ( 1.33K  )
Fedoracoin,ASIC - Scrypt,false,https://miningpoolstats.stream/fedoracoin,https://github.com/jojapoppa/fedoratipscoin,4,2.9M ,35.46K ,553.43B,?
Gleec Coin,ASIC - SHA256,true,https://miningpoolstats.stream/gleeccoin,https://github.com/Gleecs/GleecBTC-FullNode-Win-Mac-Linux,0,2.81M ,159.29K ,20.86M / 210M (9.9%),?
Signa,HDD - Proof of Capacity,false,https://miningpoolstats.stream/signa,https://github.com/signum-network/signum-node,369,2.72M ,39.27K ,0 / 2.16B (0.0%),?
42-coin,ASIC - Scrypt,false,https://miningpoolstats.stream/42coin,https://github.com/42-coin/42,2,,,42 / 42 (100.0%),?
Callisto Network,ASIC - Ethash,false,https://miningpoolstats.stream/callisto,https://github.com/EthereumCommonwealth/go-callisto,57,2.2M ,23.64K ,3.41B / 6.5B (52.4%),3038250 CLO ( 1.96K  )
Ycash,GPU - Equihash,true,https://miningpoolstats.stream/ycash,https://github.com/ycashfoundation/ycash,691,2.06M ,5.71K ,14.45M / 21M (68.8%),3597 YEC ( 512.65  )
Lyncoin,MERGED Mining,true,https://miningpoolstats.stream/lyncoin,https://github.com/lyncoin/lyncoin,31003,,,13.6B / 90.72B (15.0%),19311060 LCN ( 3.06K  )
Zclassic,GPU - Equihash,true,https://miningpoolstats.stream/zclassic,https://github.com/ZClassicCommunity/zclassic,522,1.88M ,11.76K ,27.25M / 11.46M (237.7%),13988 ZCL ( 964.72  )
Emercoin,MERGED Mining,true,https://miningpoolstats.stream/emercoin,https://github.com/emercoin/emercoin,821882,1.74M ,0.02 ,48.12M / 1B (4.8%),?
Nexus,GPU - Various Algo,false,https://miningpoolstats.stream/nexus,https://github.com/Nexusoft/LLL-TAO,466,1.69M ,2.42K ,77.31M / 74.08M (104.4%),6361 NXS ( 139.11  )
BitcoinZ,GPU - Equihash,true,https://miningpoolstats.stream/bitcoinz,https://github.com/btcz/bitcoinz,728,1.67M ,31.19K ,12.6B / 21B (60.0%),?
Kylacoin,GPU - SHA | Skunk | TimeTravel,true,https://miningpoolstats.stream/kylacoin,https://github.com/kylacoin/kylacoin,143,1.65M ,65.2K ,4.28K / 21K (20.4%),7.595 KCN ( 2.91K  )
PepePow,GPU - Various Algo,false,https://miningpoolstats.stream/pepepow,https://github.com/MattF42/PePe-core,224,1.55M ,36.23K ,26.1B / 90B (29.0%),20775000 PEPEW ( 1.26K  )
Kiiro Coin,GPU - Various Algo,true,https://miningpoolstats.stream/kiirocoin,https://github.com/Kiirocoin/kiiro,681,1.58M ,45.51K ,2.5M / 1.76M (142.0%),18850 KIIRO ( 11.9K  )
MeowCoin,GPU - KawPow,true,https://miningpoolstats.stream/meowcoin,https://github.com/JustAResearcher/Meowcoin,1540,1.49M ,15.43K ,2.61B / 21B (12.4%),?
Super Zero,GPU - ProgPoW | Cuckoo,false,https://miningpoolstats.stream/superzero,https://github.com/sero-cash/go-sero,36,1.49M ,447.86K ,407.94M / 650M (62.8%),34448 SERO ( 125.73  )
Startcoin,ASIC - X11,false,https://miningpoolstats.stream/startcoin,https://github.com/startcoin-project/startcoin,0,,,82.45M / 84M (98.2%),?
Espers,GPU - PHI2 | C11 | HMQ1725,false,https://miningpoolstats.stream/espers,https://github.com/cryptocoderz/espers,0,1.43M ,899.17 ,27.51B / 50B (55.0%),99500 ESP ( 5.16  )
Vertcoin,GPU - Various Algo,true,https://miningpoolstats.stream/vertcoin,https://github.com/vertcoin/vertcoin,736,1.36M ,60.02K ,68.18M / 84M (81.2%),6800 VTC ( 133.51  )
WorldCoin,ASIC - Scrypt,true,https://miningpoolstats.stream/worldcoin,https://github.com/OfficialWorldcoinGlobal/Worldcoin,3795,1.29M ,196.96 ,144.8M / 265M (54.6%),3022 WDC ( 26.96  )
Bitcoin-sCrypt,ASIC - Scrypt,false,https://miningpoolstats.stream/bitcoinscrypt,https://github.com/Bitcoin-sCrypt/Bitcoin-sCrypt,0,1.33M ,27.1 ,19.61M / 21M (93.4%),?
traaitt,CPU - Argon2d | Argon2i,false,https://miningpoolstats.stream/traaitt,https://github.com/TRRXITTE/traaitt,15,1.32M ,129.59 ,3.22T / 8T (40.3%),269555000 XTE ( 110.57  )
Waltonchain,GPU - Various Algo,false,https://miningpoolstats.stream/waltonchain,,27,,,,
Unobtanium,MERGED Mining,true,https://miningpoolstats.stream/unobtanium,https://github.com/unobtanium-official/Unobtanium,0,1.26M ,0.72 ,208.19K / 250K (83.3%),4.65 UNO ( 28.04  )
Canxium,ASIC - Ethash,false,https://miningpoolstats.stream/canxium,https://github.com/canxium/go-canxium,812,1.24M ,41.14K ,0 / 533.36K (0.0%),?
Scala,CPU - Various Algo,false,https://miningpoolstats.stream/scala,https://github.com/scala-network/scala,331,1.17M ,7.28K ,0 / 21B (0.0%),?
Qwertycoin,ASIC - CryptoNight,false,https://miningpoolstats.stream/qwertycoin,https://github.com/qwertycoin-org/qwertycoin,19,1.43M ,1.71K ,159.09B / 184.47B (86.2%),?
DimeCoin,ASIC - Groestl | Qubit | Skein | Quark,true,https://miningpoolstats.stream/dimecoin,https://github.com/dime-coin/dimecoin,36,1.12M ,235.2 ,570.82B / 539B (105.9%),24749700 DIME ( 48.51  )
Garlicoin,GPU - Allium | Tribus | bmw512,true,https://miningpoolstats.stream/garlicoin,https://github.com/GarlicoinOrg/Garlicoin,147,1.12M ,90.99 ,68.2M / 69M (98.8%),1641 GRLC ( 26.85  )
Dingocoin,MERGED Mining,true,https://miningpoolstats.stream/dingocoin,https://github.com/dingocoincrypto/dingocoin,3803,1.11M ,51.8K ,105.87B / 103.19B (102.6%),13874800 DINGO ( 144.85  )
NewYorkCoin,MERGED Mining,true,https://miningpoolstats.stream/newyorkcoin,https://github.com/NewYorkCoin-NYC/nycoin,3764,1.09M ,79.55 ,143.91B / 100B (143.9%),?
Infinitecoin,ASIC - Scrypt,true,https://miningpoolstats.stream/infinitecoin,https://github.com/infinitecoin-project/infinitecoin,21,1.09M ,40.79 ,91.77B,2253000 IFC ( 26.65  )
Conceal,GPU - CryptoNight Variants,false,https://miningpoolstats.stream/conceal,https://github.com/ConcealNetwork/conceal-core,2268,1.07M ,95.22 ,21.79M / 200M (10.9%),?
GlobalBoost-Y,GPU - Yescrypt,true,https://miningpoolstats.stream/globalboost,https://github.com/GlobalBoost/GlobalBoost-Y,487,1.06M ,176.34 ,20.17M / 21M (96.1%),?
Aion,GPU - Equihash,false,https://miningpoolstats.stream/aion,https://github.com/aionnetwork/aion,40,975.62K ,562.12 ,527.22M / 487.5M (108.1%),37658 AION ( 69.68  )
MazaCoin,ASIC - SHA256,true,https://miningpoolstats.stream/mazacoin-sha,https://github.com/MazaCoin/maza,15,956.65K ,269.24 ,2.22B / 2.42B (91.9%),216562 MAZA ( 93.22  )
MazaCoin,CPU - Various Algo,true,https://miningpoolstats.stream/mazacoin-minotaurx,https://github.com/MazaCoin/maza,125,956.65K ,269.24 ,2.22B / 2.42B (91.9%),216187 MAZA ( 93.06  )
DeepOnion,GPU - X21S | X17 | X15 | X14 | X13,true,https://miningpoolstats.stream/deeponion,https://github.com/deeponion/deeponion,129,944.22K ,142.58 ,22.97M / 25M (91.9%),15177 ONION ( 623.77  )
Metaverse,ASIC - Ethash,false,https://miningpoolstats.stream/metaverse,https://github.com/mvs-org/metaverse,10,824.19K ,26.09K ,84.35M / 100M (84.4%),?
Subi Network,CPU - GhostRider,true,https://miningpoolstats.stream/subinetwork,https://github.com/subinetwork/subi,2925,819.64K ,86.48K ,96.82M,3535000 SUBI ( 29.93K  )
Hawaii Coin,ASIC - Groestl | Qubit | Skein | Quark,false,https://miningpoolstats.stream/hawaiicoin,https://github.com/MeetingInHawaii/HWI-Source,6,805.12K ,27.32 ,9.84M / 5M (196.8%),21363 HWI ( 1.75K  )
Ryo Currency,GPU - CryptoNight Variants,false,https://miningpoolstats.stream/ryo,https://github.com/ryo-currency/ryo-currency,114,788.97K ,645.38 ,49.26M / 88.19M (55.9%),11725 RYO ( 187.78  )
WoodCoin,GPU - Various Algo,false,https://miningpoolstats.stream/woodcoin,https://github.com/funkshelper/woodcoin,30,770.51K ,53.62 ,9.88M / 27.6M (35.8%),?
Hacash,CPU - Various Algo,false,https://miningpoolstats.stream/hacash,https://github.com/hacash,0,837.18K ,42.46K ,528.44K,2198 HAC ( 3.45K  )
Coinye,ASIC - Scrypt,true,https://miningpoolstats.stream/coinye,https://github.com/bityecoin/coinyecoin,0,746.34K ,0 ,133.33B / 133.33B (100.0%),?
Decred-Next,ASIC - Blake256 | Blake2B,false,https://miningpoolstats.stream/decrednext,https://github.com/Decred-Next/binary-release,0,735.86K ,10K ,7.12M,2152 DCRN ( 222.54  )
Gemlink,GPU - Equihash,true,https://miningpoolstats.stream/gemlink,https://github.com/gemlink/gemlink,760,,,79.89M / 160M (49.9%),43290 GLINK ( 379.14  )
ExchangeCoin,GPU - Equihash,false,https://miningpoolstats.stream/exchangecoin,https://github.com/EXCCoin/exilibrium,9,683.08K ,239.65K ,29.48M / 32M (92.1%),2338 EXCC ( 54.25  )
