name,algorithm,is_depends,coin_url,github_link,miners,market_cap,volume,circulating_supply,emission
Oracol,ASIC - Scrypt,false,https://miningpoolstats.stream/oracol,https://github.com/OracolXor/Oracol-XOR-Coin,1,65.17K ,0 ,86.18M,2866 XOR ( 2.17  )
PascalCoin,GPU - Various Algo,false,https://miningpoolstats.stream/pascalcoin,https://github.com/PascalCoin/PascalCoin,29,77.83K ,69.95 ,41.27M / 42M (98.3%),7600 PASC ( 14.34  )
TajCoin,GPU - Blake2S | Blake2B | Keccak,false,https://miningpoolstats.stream/tajcoin,https://github.com/Taj-Coin/tajcoin,92,61.36K ,231.29 ,31.65M,8195 TAJ ( 15.89  )
Infinium-8,ASIC - CryptoNight,false,https://miningpoolstats.stream/infinium8-cn,https://github.com/Infinium-dev/Infinium,2,60.72K ,14.58 ,53.66M,?
Infinium-8,GPU - CryptoNight Variants,false,https://miningpoolstats.stream/infinium8-cn7lite,https://github.com/Infinium-dev/Infinium,3,60.72K ,14.58 ,53.66M,?
Infinium-8,GPU - CryptoNight Variants,false,https://miningpoolstats.stream/infinium8-cnzls,https://github.com/Infinium-dev/Infinium,2,60.72K ,14.58 ,53.66M,?
Cococoin,ASIC - Scrypt,true,https://miningpoolstats.stream/cococoin,https://github.com/CocoNakamoto/cococoin-project,4,48.82K ,4.11K ,9.42M,10500 COCO ( 54.42  )
Swap,GPU - ProgPoW | Cuckoo,false,https://miningpoolstats.stream/swap,https://github.com/swap-dev/swap,5,59.03K ,60.36K ,16.96M / 18.4M (92.2%),2045 XWP ( 7.13  )
VSolidus,ASIC - Scrypt,true,https://miningpoolstats.stream/vsolidus,https://github.com/VSolidus/solidus,3,54.65K ,33.85 ,9.54B / 92B (10.4%),386850 VSOL ( 2.22  )
Arielcoin,GPU - KawPow,true,https://miningpoolstats.stream/arielcoin,https://github.com/ArielCoinOrg/arielcoin,19,54.49K ,57.32 ,13.28M,14489 ARL ( 59.45  )
Litoreum,CPU - GhostRider,true,https://miningpoolstats.stream/litoreum,https://github.com/Altcoin-Master/Litoreum,2088,51.78K ,2.79K ,984.87M,2115000 LTRM ( 111.21  )
Taler,GPU - Lyra2 Variants,false,https://miningpoolstats.stream/taler,https://github.com/taler-project/taler,9,50.33K ,36.42 ,18.31M / 23M (79.6%),5025 TLR ( 13.81  )
PlusOneCoin,GPU - PHI2 | C11 | HMQ1725,true,https://miningpoolstats.stream/plusonecoin,https://github.com/plusonecoin/plusonecoin,33,49.54K ,14.82 ,12.51M / 26.35M (47.5%),?
FoxDcoin,GPU - X16R | X16Rv2 | X16RT | X16S,true,https://miningpoolstats.stream/foxdcoin,https://github.com/foxdproject/foxdcoin,508,46.48K ,1.57K ,9.8B / 21B (46.7%),7280000 FOXD ( 34.54  )
Bitfishcoin,CPU - GhostRider,true,https://miningpoolstats.stream/bitfishcoin,https://github.com/Altcoin-Master/Bitfishcoin,1470,38.61K ,2.99K ,1.03B,3605000 BTSC ( 135.7  )
Cirquity,CPU - Argon2d | Argon2i,false,https://miningpoolstats.stream/cirquity,https://github.com/cirquity/cirquity,7,43.43K ,5.74 ,111.33M / 1B (11.1%),76145 CIRQ ( 29.71  )
LitecoinZ,GPU - Equihash,true,https://miningpoolstats.stream/litecoinz,https://github.com/litecoinz-core/litecoinz,2,,,37.32M / 84M (44.4%),6250 LTZ ( 7.07  )
Expanse,ASIC - Ethash,false,https://miningpoolstats.stream/expanse,https://github.com/expanse-org/go-expanse,27,38.28K ,211.68 ,50.79M / 100M (50.8%),16590 EXP ( 12.5  )
GSP Coin,CPU - GhostRider,true,https://miningpoolstats.stream/gspcoin,https://github.com/gamgsp/gspcoin,1472,68.58K ,5.32K ,403.46M / 6B (6.7%),1039500 GSPC ( 176.7  )
DinarTether,GPU - KawPow,true,https://miningpoolstats.stream/dinartether,https://github.com/Dinartether/Dinartether,464,70.56K ,2.44K ,373.45K,68400 DINT ( 12.93K  )
Cheetahcoin,ASIC - SHA256,true,https://miningpoolstats.stream/cheetahcoin,https://github.com/ShorelineCrypto/cheetahcoin,599,36.93K ,5.95 ,17.04B,2570000 CHTA ( 5.57  )
SpiderByte,ASIC - Scrypt,false,https://miningpoolstats.stream/spiderbyte,https://github.com/Crypto-Currency/SpiderByte,0,38.5K ,176.68 ,3.4M / 4M (85.1%),166.6 SPB ( 1.89  )
Phloxcoin,ASIC - Scrypt,true,https://miningpoolstats.stream/phloxcoin,https://github.com/brimmen/phloxcoin,1,32.03K ,2.09K ,12.08M,?
TrezarCoin,GPU - NeoScrypt,true,https://miningpoolstats.stream/trezarcoin,https://github.com/TrezarCoin/TrezarCoin,0,34.94K ,496.92 ,316.68M / 400M (79.2%),66150 TZC ( 7.3  )
Curvehash,CPU - Various Algo,true,https://miningpoolstats.stream/curvehash,https://github.com/cryptodigi/CurvehashCoin-2022,0,33.69K ,136.44 ,44.92M,?
2ACoin,CPU - Argon2d | Argon2i,false,https://miningpoolstats.stream/2acoin,https://github.com/2acoin/2acoin,7,31.74K ,32.5 ,11.37M / 17.91M (63.5%),2968 ARMS ( 8.28  )
Qogecoin,CPU - Yescrypt,true,https://miningpoolstats.stream/qogecoin,https://github.com/qogecoin/qogecoin,60,31.63K ,156.33 ,77.5M / 100M (77.5%),34025 QOGE ( 13.89  )
Martkist,ASIC - SHA256,true,https://miningpoolstats.stream/martkist,https://github.com/martkist/martkist,0,31.01K ,243.1 ,22.82M / 37M (61.7%),3721 MARTK ( 5.06  )
SparksPay,GPU - NeoScrypt,true,https://miningpoolstats.stream/sparkspay,https://github.com/sparkspay/sparks,1,30.44K ,0.4 ,13.82M / 21M (65.8%),2272 SPK ( 5.01  )
Halcyon,GPU - NeoScrypt,false,https://miningpoolstats.stream/halcyon,https://github.com/ghostlander/Halcyon,0,30.22K ,3.31 ,13.33M,3908 HAL ( 8.86  )
uPlexa,GPU - CryptoNight Variants,false,https://miningpoolstats.stream/uplexa,https://github.com/uPlexa/uplexa,237,29.45K ,22.07 ,3.85B / 10.5B (36.7%),1149562 UPX ( 8.79  )
PeppersCore,GPU - PHI2 | C11 | HMQ1725,false,https://miningpoolstats.stream/pepperscore,https://github.com/pepperscore-project/pepperscore_v2,7,30.08K ,137.95 ,220.49K,127.7 EPPE ( 17.42  )
BitMark,ASIC - SHA256,false,https://miningpoolstats.stream/bitmark-sha,https://github.com/project-bitmark/bitmark,0,28.25K ,0.02 ,18.49M / 27.58M (67.0%),2885 MARKS ( 4.41  )
BitMark,ASIC - Equihash,false,https://miningpoolstats.stream/bitmark-equihash,https://github.com/project-bitmark/bitmark,0,28.25K ,0.02 ,18.49M / 27.58M (67.0%),2885 MARKS ( 4.41  )
BitMark,ASIC - Lyra2REv2,false,https://miningpoolstats.stream/bitmark-lyra,https://github.com/project-bitmark/bitmark,0,28.25K ,0.02 ,18.49M / 27.58M (67.0%),2885 MARKS ( 4.41  )
BitMark,GPU - Yescrypt,false,https://miningpoolstats.stream/bitmark-yescrypt,https://github.com/project-bitmark/bitmark,0,28.25K ,0.02 ,18.49M / 27.58M (67.0%),2885 MARKS ( 4.41  )
BitMark,GPU - X21S | X17 | X15 | X14 | X13,false,https://miningpoolstats.stream/bitmark-x17,https://github.com/project-bitmark/bitmark,0,28.25K ,0.02 ,18.49M / 27.58M (67.0%),2885 MARKS ( 4.41  )
BitMark,MERGED Mining,false,https://miningpoolstats.stream/bitmark-scrypt,https://github.com/project-bitmark/bitmark,0,28.25K ,0.02 ,18.49M / 27.58M (67.0%),2885 MARKS ( 4.41  )
HaroldCoin,GPU - Various Algo,true,https://miningpoolstats.stream/haroldcoin,https://github.com/Harold-Coin/haroldcoin-main-23-may,8,28.02K ,323.09 ,35.03M,27600 HRLD ( 22.07  )
Widecoin,ASIC - SHA256,true,https://miningpoolstats.stream/widecoin,https://github.com/widecoin-project/widecoin,68,25.06K ,732.1 ,19.01M / 35M (54.3%),?
Morelo,CPU - RandomX Variants,false,https://miningpoolstats.stream/morelo,https://github.com/MoreloNetwork/morelo,10,28.73K ,2.81K ,49.89M / 75M (66.5%),?
PRiVCY,CPU - YesPoWer,true,https://miningpoolstats.stream/privcy,https://github.com/Bob-bit-PRIV/PRiVCY,2,25.47K ,1.43 ,15.6M / 30M (52.0%),?
FxTC,ASIC - SHA256,true,https://miningpoolstats.stream/fxtc-sha,https://github.com/fxtc/fxtc,0,25.22K ,0.1 ,507.4K,4.487 FXTC ( 0.22  )
FxTC,ASIC - Scrypt,true,https://miningpoolstats.stream/fxtc-scrypt,https://github.com/fxtc/fxtc,0,25.22K ,0.1 ,507.4K,4.487 FXTC ( 0.22  )
FxTC,ASIC - X11,true,https://miningpoolstats.stream/fxtc-x11,https://github.com/fxtc/fxtc,0,25.22K ,0.1 ,507.4K,4.487 FXTC ( 0.22  )
FxTC,GPU - Lyra2 Variants,true,https://miningpoolstats.stream/fxtc-lyra2z,https://github.com/fxtc/fxtc,0,25.22K ,0.1 ,507.4K,4.487 FXTC ( 0.22  )
FxTC,GPU - X16R | X16Rv2 | X16RT | X16S,true,https://miningpoolstats.stream/fxtc-x16r,https://github.com/fxtc/fxtc,8,25.22K ,0.1 ,507.4K,4.487 FXTC ( 0.22  )
Globaltoken,ASIC - SHA256,true,https://miningpoolstats.stream/globaltoken-sha,https://github.com/globaltoken/globaltoken,625,24.37K ,1.52K ,121.93M / 168M (72.6%),?
Globaltoken,ASIC - Scrypt,true,https://miningpoolstats.stream/globaltoken-scrypt,https://github.com/globaltoken/globaltoken,0,24.37K ,1.52K ,121.93M / 168M (72.6%),?
Globaltoken,ASIC - X11,true,https://miningpoolstats.stream/globaltoken-x11,https://github.com/globaltoken/globaltoken,1,24.37K ,1.52K ,121.93M / 168M (72.6%),?
Globaltoken,ASIC - Blake256 | Blake2B,true,https://miningpoolstats.stream/globaltoken-blake2b,https://github.com/globaltoken/globaltoken,0,24.37K ,1.52K ,121.93M / 168M (72.6%),?
Globaltoken,ASIC - Groestl | Qubit | Skein | Quark,true,https://miningpoolstats.stream/globaltoken-groestl,https://github.com/globaltoken/globaltoken,0,24.37K ,1.52K ,121.93M / 168M (72.6%),?
Globaltoken,ASIC - Groestl | Qubit | Skein | Quark,true,https://miningpoolstats.stream/globaltoken-qubit,https://github.com/globaltoken/globaltoken,0,24.37K ,1.52K ,121.93M / 168M (72.6%),?
Globaltoken,ASIC - Groestl | Qubit | Skein | Quark,true,https://miningpoolstats.stream/globaltoken-skein,https://github.com/globaltoken/globaltoken,0,24.37K ,1.52K ,121.93M / 168M (72.6%),?
Globaltoken,ASIC - Groestl | Qubit | Skein | Quark,true,https://miningpoolstats.stream/globaltoken-quark,https://github.com/globaltoken/globaltoken,0,24.37K ,1.52K ,121.93M / 168M (72.6%),?
Globaltoken,ASIC - Various Algo,true,https://miningpoolstats.stream/globaltoken-nist5,https://github.com/globaltoken/globaltoken,1,24.37K ,1.52K ,121.93M / 168M (72.6%),?
Globaltoken,GPU - Lyra2 Variants,true,https://miningpoolstats.stream/globaltoken-lyra2z,https://github.com/globaltoken/globaltoken,0,24.37K ,1.52K ,121.93M / 168M (72.6%),?
Globaltoken,GPU - X21S | X17 | X15 | X14 | X13,true,https://miningpoolstats.stream/globaltoken-x17,https://github.com/globaltoken/globaltoken,0,24.37K ,1.52K ,121.93M / 168M (72.6%),?
Globaltoken,GPU - X21S | X17 | X15 | X14 | X13,true,https://miningpoolstats.stream/globaltoken-x15,https://github.com/globaltoken/globaltoken,1,24.37K ,1.52K ,121.93M / 168M (72.6%),?
Globaltoken,GPU - X21S | X17 | X15 | X14 | X13,true,https://miningpoolstats.stream/globaltoken-x14,https://github.com/globaltoken/globaltoken,0,24.37K ,1.52K ,121.93M / 168M (72.6%),?
Globaltoken,GPU - X21S | X17 | X15 | X14 | X13,true,https://miningpoolstats.stream/globaltoken-x13,https://github.com/globaltoken/globaltoken,1,24.37K ,1.52K ,121.93M / 168M (72.6%),?
Globaltoken,GPU - X21S | X17 | X15 | X14 | X13,true,https://miningpoolstats.stream/globaltoken-x22i,https://github.com/globaltoken/globaltoken,0,24.37K ,1.52K ,121.93M / 168M (72.6%),?
Globaltoken,GPU - X21S | X17 | X15 | X14 | X13,true,https://miningpoolstats.stream/globaltoken-x25x,https://github.com/globaltoken/globaltoken,0,24.37K ,1.52K ,121.93M / 168M (72.6%),?
Globaltoken,GPU - Blake2S | Blake2B | Keccak,true,https://miningpoolstats.stream/globaltoken-blake2s,https://github.com/globaltoken/globaltoken,1,24.37K ,1.52K ,121.93M / 168M (72.6%),?
Globaltoken,GPU - Blake2S | Blake2B | Keccak,true,https://miningpoolstats.stream/globaltoken-keccakc,https://github.com/globaltoken/globaltoken,1,24.37K ,1.52K ,121.93M / 168M (72.6%),?
Globaltoken,GPU - Allium | Tribus | bmw512,true,https://miningpoolstats.stream/globaltoken-allium,https://github.com/globaltoken/globaltoken,0,24.37K ,1.52K ,121.93M / 168M (72.6%),?
Globaltoken,GPU - Allium | Tribus | bmw512,true,https://miningpoolstats.stream/globaltoken-tribus,https://github.com/globaltoken/globaltoken,0,24.37K ,1.52K ,121.93M / 168M (72.6%),?
Globaltoken,GPU - PHI2 | C11 | HMQ1725,true,https://miningpoolstats.stream/globaltoken-c11,https://github.com/globaltoken/globaltoken,0,24.37K ,1.52K ,121.93M / 168M (72.6%),?
Globaltoken,GPU - PHI2 | C11 | HMQ1725,true,https://miningpoolstats.stream/globaltoken-hmq1725,https://github.com/globaltoken/globaltoken,0,24.37K ,1.52K ,121.93M / 168M (72.6%),?
Globaltoken,GPU - SHA | Skunk | TimeTravel,true,https://miningpoolstats.stream/globaltoken-skunk,https://github.com/globaltoken/globaltoken,0,24.37K ,1.52K ,121.93M / 168M (72.6%),?
Globaltoken,GPU - Various Algo,true,https://miningpoolstats.stream/globaltoken-xevan,https://github.com/globaltoken/globaltoken,0,24.37K ,1.52K ,121.93M / 168M (72.6%),?
Globaltoken,GPU - Various Algo,true,https://miningpoolstats.stream/globaltoken-dedal,https://github.com/globaltoken/globaltoken,0,24.37K ,1.52K ,121.93M / 168M (72.6%),?
Globaltoken,CPU - Yescrypt,true,https://miningpoolstats.stream/globaltoken-yescryptr32,https://github.com/globaltoken/globaltoken,1,24.37K ,1.52K ,121.93M / 168M (72.6%),?
Globaltoken,CPU - Yescrypt,true,https://miningpoolstats.stream/globaltoken-yescryptr24,https://github.com/globaltoken/globaltoken,0,24.37K ,1.52K ,121.93M / 168M (72.6%),?
Globaltoken,CPU - Yescrypt,true,https://miningpoolstats.stream/globaltoken-yescryptr16v2,https://github.com/globaltoken/globaltoken,1,24.37K ,1.52K ,121.93M / 168M (72.6%),?
Globaltoken,CPU - Yescrypt,true,https://miningpoolstats.stream/globaltoken-yescryptr8,https://github.com/globaltoken/globaltoken,1,24.37K ,1.52K ,121.93M / 168M (72.6%),?
GCN Coin,ASIC - Scrypt,false,https://miningpoolstats.stream/gcncoin,https://github.com/GregGeoghegan/GCN-zone-source,295,24.05K ,177.59 ,186.3B / 200B (93.2%),?
BeeNode,GPU - Various Algo,true,https://miningpoolstats.stream/beenode,https://github.com/bee-group/beenode,8,23.93K ,22.75 ,2.65M,4474 BNODE ( 40.34  )
Maxcoin,GPU - Blake2S | Blake2B | Keccak,false,https://miningpoolstats.stream/maxcoin,https://github.com/Max-Coin/maxcoin,2,23.92K ,6.13 ,72.64M / 100M (72.6%),?
Whive,CPU - YesPoWer,true,https://miningpoolstats.stream/whive,https://github.com/whiveio/whive,29,23.67K ,19.19 ,39.46M,28800 WHIVE ( 17.28  )
WrkzCoin,GPU - CryptoNight Variants,false,https://miningpoolstats.stream/wrkzcoin,https://github.com/wrkzcoin/wrkzcoin,17,23.32K ,0 ,173.9B / 500B (34.8%),8050000 WRKZ ( 1.08  )
VaporumCoin,ASIC - Equihash,true,https://miningpoolstats.stream/vaporumcoin,https://github.com/VaporumCoin/VaporumCoin-daemon,67,22.48K ,4.16K ,53.18M / 500M (10.6%),?
Axe,ASIC - X11,true,https://miningpoolstats.stream/axerunners,https://github.com/AXErunners/axe,1,22.12K ,0.82 ,7.71M / 21M (36.7%),?
Taichicoin,CPU - GhostRider,true,https://miningpoolstats.stream/taichicoin,https://github.com/Altcoin-Master/Taichicoin,7,21.96K ,1.71K ,31.56M,18488 TCC ( 12.87  )
iBitHub,ASIC - Scrypt,false,https://miningpoolstats.stream/ibithub,,320,,,,
CheeseCoin,ASIC - Scrypt,false,https://miningpoolstats.stream/cheesecoin,https://github.com/CheeseCoin/CheeseMasternode,303,19.6K ,0 ,525.84M / 3.5B (15.0%),51095 CHEESE ( 1.9  )
Volkshash,CPU - YesPoWer,true,https://miningpoolstats.stream/volkshash,https://github.com/VolkshashDEV/volkshashcore,612,18.66K ,10.45K ,113.39B,?
JagoanCoin,CPU - GhostRider,true,https://miningpoolstats.stream/jagoancoin,https://github.com/jagoancoincash/jagoancoin,1659,17.66K ,677.61 ,358.23M,?
Zurcoin,ASIC - Groestl | Qubit | Skein | Quark,true,https://miningpoolstats.stream/zurcoin,https://github.com/zurcoin/zurcoin,0,18.86K ,127.98 ,116.22M,404.2 ZUR ( 0.07  )
Bata,ASIC - SHA256,true,https://miningpoolstats.stream/bata-sha,https://github.com/BTA-BATA/Bataoshi,1,18.6K ,0 ,5.06M / 10M (50.6%),?
Bata,ASIC - Scrypt,true,https://miningpoolstats.stream/bata-scrypt,https://github.com/BTA-BATA/Bataoshi,0,18.6K ,0 ,5.06M / 10M (50.6%),?
Bata,GPU - Lyra2 Variants,true,https://miningpoolstats.stream/bata-lyra2z,https://github.com/BTA-BATA/Bataoshi,0,18.6K ,0 ,5.06M / 10M (50.6%),?
Bata,GPU - X16R | X16Rv2 | X16RT | X16S,true,https://miningpoolstats.stream/bata-x16r,https://github.com/BTA-BATA/Bataoshi,0,18.6K ,0 ,5.06M / 10M (50.6%),?
Arto,GPU - CryptoNight Variants,false,https://miningpoolstats.stream/arto,https://github.com/artocash/arto,3,17.73K ,0 ,23.89M,3698 RTO ( 2.74  )
Bellcoin,CPU - YesPoWer,true,https://miningpoolstats.stream/bellcoin,https://github.com/bellcoin-org/bellcoin,150,17.72K ,0.04 ,24.42M / 200M (12.2%),?
Alterdot,CPU - Argon2d | Argon2i,true,https://miningpoolstats.stream/alterdot,https://github.com/Alterdot/Alterdot,2,15.66K ,1.66 ,13.85M,2380 ADOT ( 2.69  )
Guncoin,GPU - NeoScrypt,true,https://miningpoolstats.stream/guncoin,https://github.com/guncoin/guncoin,13,14.65K ,0.24 ,338.38M / 500M (67.7%),?
Kotia,ASIC - Scrypt,true,https://miningpoolstats.stream/kotia,https://github.com/kotiacash/kotiacash,23,13.65K ,5.74K ,30.9M,?
BitSend,GPU - Various Algo,true,https://miningpoolstats.stream/bitsend,https://github.com/LIMXTEC/BitSend,11,13.5K ,0.24 ,32.56M / 210M (15.5%),904.7 BSD ( 0.38  )
HelpTheHomeless,GPU - X16R | X16Rv2 | X16RT | X16S,true,https://miningpoolstats.stream/hthcoin,https://github.com/HTHcoin/helpthehomelesscoin,55,10.54K ,446.24 ,3.9B / 127.96M (3051.5%),?
Vkax,CPU - Various Algo,true,https://miningpoolstats.stream/vkax,https://github.com/vkaxproject/vkax,12,10.84K ,2.37K ,707.83M,?
Scholarship Coin,ASIC - Scrypt,true,https://miningpoolstats.stream/scholarshipcoin,https://github.com/scholarshipcoin/SCHO2.0,1,10.17K ,462.92 ,17.64M / 20M (88.2%),?
Machinecoin,GPU - SHA | Skunk | TimeTravel,true,https://miningpoolstats.stream/machinecoin,https://github.com/machinecoin-project/machinecoin-core,1,9.78K ,0 ,26.26M / 35M (75.0%),?
GoByte,GPU - NeoScrypt,true,https://miningpoolstats.stream/gobyte,https://github.com/gobytecoin/gobyte,4,9.71K ,1.87K ,9.58M / 31.8M (30.1%),?
StrongHands,ASIC - SHA256,false,https://miningpoolstats.stream/stronghands,https://github.com/stronghands-official/SHND-source,5,7.56K ,0.13 ,19.17B / 29B (66.1%),1814439 SHND ( 0.71  )
Nyxcoin,GPU - NeoScrypt,true,https://miningpoolstats.stream/nyxcoin,https://github.com/nyxpay/nyx,0,7.4K ,2.6 ,13.08M / 30.35M (43.1%),?
EZCoin,ASIC - Scrypt,true,https://miningpoolstats.stream/ezcoin,https://github.com/Davegunn99/EZCoinV5.0,6,7.08K ,0.73 ,244.04M / 1B (24.4%),265000 EZC ( 7.69  )
ZeroClassic,GPU - Equihash,true,https://miningpoolstats.stream/zeroclassic,https://github.com/zeroclassic/ZeroClassic,2,6.33K ,0 ,16.59M,7328 ZERC ( 2.79  )
OmotenashiCoin,ASIC - Groestl | Qubit | Skein | Quark,true,https://miningpoolstats.stream/omotenashicoin,https://github.com/omotenashicoin-project/OmotenashiCoin,4,5.33K ,1.05K ,59.69M / 330M (18.1%),183600 MTNS ( 16.38  )
ImageCoin,ASIC - X11,true,https://miningpoolstats.stream/imagecoin,https://github.com/mceme/ImageCoin,3,4.98K ,89 ,14.67M / 21M (69.9%),4670 IMG ( 1.58  )
BitcoinSubsidium,CPU - Various Algo,true,https://miningpoolstats.stream/bitcoinsubsidium,https://github.com/phoenixkonsole/xbtx,109,4.47K ,1.55 ,8.41M / 21M (40.1%),?
Dinero,GPU - NeoScrypt,true,https://miningpoolstats.stream/dinero,https://github.com/dinerocoin/dinero,2,4.24K ,0.13 ,18.67M / 100M (18.7%),?
Animecoin,GPU - Various Algo,false,https://miningpoolstats.stream/animecoin,https://github.com/testzcrypto/Animecoin,3,3.57K ,0 ,2.05B / 2.5B (82.2%),19664 ANI ( 0.03  )
Hivecoin,GPU - KawPow,true,https://miningpoolstats.stream/hivecoin,https://github.com/HiveProject2021/Hivecoin,10,2.71K ,0 ,5.76B / 21B (27.4%),?
Zent Cash,CPU - Argon2d | Argon2i,false,https://miningpoolstats.stream/zentcash,https://github.com/ZentCashFoundation/Zent,2,2.4K ,215.65 ,4.53B / 7.5B (60.4%),?
Pexa Coin,GPU - X16R | X16Rv2 | X16RT | X16S,true,https://miningpoolstats.stream/pexacoin,https://github.com/pexacoin/core,2,1.91K ,0 ,4.99M,?
ClassicBitcoin,ASIC - Equihash,true,https://miningpoolstats.stream/classicbitcoin,https://github.com/classicbitcoins/cbitcoin,0,1.76K ,0 ,114.05M / 20.94M (544.6%),34376 CBTC ( 0.53  )
FlorinCoin,ASIC - Scrypt,true,https://miningpoolstats.stream/florincoin,https://github.com/floblockchain/flo,1,1.18K ,0.72 ,156.72M / 160M (98.0%),?
KZCash,ASIC - X11,true,https://miningpoolstats.stream/kzcash,https://github.com/kzcashteam/kzcash,73,1.15K ,0.19 ,7.6M / 18.9M (40.2%),2999 KZC ( 0.45  )
ButKoin,ASIC - SHA256,true,https://miningpoolstats.stream/butkoin-sha,https://github.com/ButKoin/but,0,1K ,0 ,4.02B,?
ButKoin,ASIC - Scrypt,true,https://miningpoolstats.stream/butkoin-scrypt,https://github.com/ButKoin/but,0,1K ,0 ,4.02B,?
ButKoin,GPU - Lyra2 Variants,true,https://miningpoolstats.stream/butkoin-lyra2z,https://github.com/ButKoin/but,0,1K ,0 ,4.02B,?
ButKoin,CPU - YesPoWer,true,https://miningpoolstats.stream/butkoin-yespower,https://github.com/ButKoin/but,0,1K ,0 ,4.02B,?
ButKoin,CPU - GhostRider,true,https://miningpoolstats.stream/butkoin-ghostrider,https://github.com/ButKoin/but,3,1K ,0 ,4.02B,?
Mangocoin,CPU - Argon2d | Argon2i,false,https://miningpoolstats.stream/mangocoin,https://github.com/mangocoinproject/mangocoin,1,760.21 ,0 ,8.14B / 20B (40.7%),?
Secure Cash,GPU - CryptoNight Variants,false,https://miningpoolstats.stream/securecash,https://github.com/scashcoin/securecash_source,1,673.21 ,64.97 ,124.13K / 300K (41.4%),?
Australia Cash,ASIC - Scrypt,true,https://miningpoolstats.stream/australiacash,https://github.com/AustraliaCash/AustraliaCash-Core,321,561.05 ,0 ,14.28M / 84M (17.0%),?
Straks,ASIC - Lyra2REv2,false,https://miningpoolstats.stream/straks,https://github.com/straks/straks,3,371.73 ,0 ,9.71M / 41.78M (23.2%),?
GeckoCoin,CPU - GhostRider,true,https://miningpoolstats.stream/geckocoin,https://github.com/GeckoProjectMN/GeckoProject,594,307.15 ,0 ,959.85M,?
Thooneum,CPU - GhostRider,true,https://miningpoolstats.stream/thooneum,https://github.com/TimyIsCool/thooneum,3,151.68 ,0.5 ,1.17B,?
Safeminex,CPU - Yescrypt,true,https://miningpoolstats.stream/safeminex,https://github.com/safeminecoin/safeminex,1,66.7 ,0 ,61.97M,?
Marscoin,ASIC - Scrypt,true,https://miningpoolstats.stream/marscoin,https://github.com/marscoin/marscoin,4,0 ,13.53K ,0,?
BitcoinX,GPU - Blake2S | Blake2B | Keccak,true,https://miningpoolstats.stream/bitcoinx,https://github.com/bitcoinx-project/bitcoinx,5,0 ,30.54K ,0 / 210B (0.0%),?
FreeCash,ASIC - SHA256,true,https://miningpoolstats.stream/freecash,https://github.com/freecashorg/freecash,0,,0 ,65.83M / 100M (65.8%),?
BADcoin,ASIC - SHA256,true,https://miningpoolstats.stream/badcoin-sha,https://github.com/ScriptProdigy/Badcoin,0,,0 ,6.49B,?
Titcoin,ASIC - SHA256,true,https://miningpoolstats.stream/titcoin,https://github.com/titcoin/titcoin,7,,0 ,67.04M / 69M (97.2%),?
Long coin,ASIC - SHA256,true,https://miningpoolstats.stream/longcoin,https://github.com/longnetwork/longcoin-core,2,,0 ,0,?
TDCoin,ASIC - SHA256,false,https://miningpoolstats.stream/tdcoin,https://github.com/tatdig/TDCoin,2,,8.01 ,0,?
Polcoin,ASIC - SHA256,false,https://miningpoolstats.stream/polcoin,,4,,,,
Oggnalive,ASIC - SHA256,true,https://miningpoolstats.stream/oggnalive,https://github.com/oggnalive/ogg,2,,0 ,1.14M,?
EthereumFair,ASIC - Ethash,false,https://miningpoolstats.stream/ethereumfair,https://github.com/ethereumfair/go-ethereum,120,,1.8M ,0,?
DubxCoin,ASIC - Ethash,false,https://miningpoolstats.stream/dubxcoin,https://github.com/DUBXCOIN/go-dubxcoin,110,,0 ,23.09M,14716 DUBX
Akroma,ASIC - Ethash,false,https://miningpoolstats.stream/akroma,https://github.com/akroma-project/akroma,2,,0 ,19.18M / 100M (19.2%),?
MOAC,ASIC - Ethash,false,https://miningpoolstats.stream/moac,https://github.com/MOACChain/moac-core,3,,0 ,171.21M / 151.04M (113.3%),?
Nilu,ASIC - Ethash,false,https://miningpoolstats.stream/nilu,https://github.com/NiluPlatform/go-nilu,1,,0 ,0,?
Nekonium,ASIC - Ethash,false,https://miningpoolstats.stream/nekonium,https://github.com/nekonium/go-nekonium,0,,0 ,12M / 18.59M (64.5%),?
QI Blockchain,ASIC - Ethash,false,https://miningpoolstats.stream/qiblockchain,https://github.com/Qi-Blockchain/QI-Blockchain,22,,79K ,0 / 150M (0.0%),?
PartyChain,ASIC - Ethash,false,https://miningpoolstats.stream/partychain,https://github.com/TeaPartyCrypto/chain,7,,292.94 ,0,?
Altcoinchain,ASIC - Ethash,false,https://miningpoolstats.stream/altcoinchain,https://github.com/Altcoinchain/go-altcoinchain,24,,964.08 ,0,?
Aves,ASIC - Ethash,false,https://miningpoolstats.stream/aves,https://github.com/Aves-Project/aves-go,672,,51.17K ,0 / 8.91M (0.0%),?
BlackChain,ASIC - Ethash,false,https://miningpoolstats.stream/blackchain,,3,,,,
Elhereum,ASIC - Ethash,false,https://miningpoolstats.stream/elhereum,https://github.com/elhereum/go-elh,57,,3.55K ,0,?
MaxxChain,ASIC - Ethash,false,https://miningpoolstats.stream/maxxchain,https://github.com/maxxchain/go-ethereum,41,,0 ,0,?
Bitnet Money,ASIC - Ethash,false,https://miningpoolstats.stream/bitnetmoney,https://github.com/BitnetMoney/bitnet,1331,,72.22K ,0,?
